  id            u            v       length      demanda           CS           CA   oneway     status
 319   2477827185   4016382081    18.268103    12.159250     0.146145     0.054804     True  undefined
 320   2477827185   2477827260   390.393128   259.845666     3.123145     1.171179     True  undefined
 321   2477827190   2477827167    90.105229    59.974040     0.720842     0.270316    False  undefined
 322   2477827190   2653916618    63.673867    42.381326     0.509391     0.191022     True  undefined
 323   2477827192   2477827198    21.013353    13.986487     0.168107     0.063040    False  undefined
 324   2477827192   2477827158   142.083027    94.570463     1.136664     0.426249    False  undefined
 325   2477827192   2477827176   227.983745   151.745981     1.823870     0.683951    False  undefined
 326   2477827193   2477827190    22.651204    15.076641     0.181210     0.067954     True  undefined
 327   2477827193   2477827196    14.453276     9.620101     0.115626     0.043360    False  undefined
 328   2477827196   2477827193    14.453276     9.620101     0.115626     0.043360    False  undefined
 329   2477827196   2477827200   115.105443    76.614183     0.920844     0.345316     True  undefined
 330   2477827196   2477827230   153.727934   102.321313     1.229823     0.461184    False  undefined
 331   2477827198   2477827192    21.013353    13.986487     0.168107     0.063040    False  undefined
 332   2477827198   2477827206    45.987472    30.609261     0.367900     0.137962    False  undefined
 333   2477827198   2477827215    94.636675    62.990171     0.757093     0.283910    False  undefined
 334   2477827199   2477827176    96.195549    64.027757     0.769564     0.288587    False  undefined
 335   2477827199   2477827193   115.263774    76.719568     0.922110     0.345791     True  undefined
 336   2477827199   2477827200    14.761162     9.825030     0.118089     0.044283    False  undefined
 337   2477827200   2477827199    14.761162     9.825030     0.118089     0.044283    False  undefined
 338   2477827200   2477827203   114.495870    76.208451     0.915967     0.343488     True  undefined
 339   2477827200   2477827279   249.431191   166.021400     1.995450     0.748294    False  undefined
 340   2477827203   5116504527    15.135578    10.074241     0.121085     0.045407    False  undefined
 341   2477827203   2477827211   112.473889    74.862621     0.899791     0.337422     True  undefined
 342   2477827203   2477827300   240.525320   160.093653     1.924203     0.721576    False  undefined
 343   2477827205   2477827323   322.748394   214.821331     2.581987     0.968245    False  undefined
 344   2477827205   2477827177   126.773157    84.380213     1.014185     0.380319    False  undefined
 345   2477827205   2477827218   134.570451    89.570092     1.076564     0.403711    False  undefined
 346   2477827206   5116504527   113.549087    75.578272     0.908393     0.340647     True  undefined
 347   2477827206   2477827198    45.987472    30.609261     0.367900     0.137962    False  undefined
 348   2477827206   2477827211    13.611569     9.059861     0.108893     0.040835    False  undefined
 349   2477827208   2477831991    77.752640    51.752158     0.622021     0.233258    False  undefined
 350   2477827208   2477831999    28.000803    18.637334     0.224006     0.084002    False  undefined
 351   2477827208   2477832001    16.350406    10.882830     0.130803     0.049051    False  undefined
 352   2477827211   2477805825   235.037660   156.441067     1.880301     0.705113    False  undefined
 353   2477827211   2477827206    13.611569     9.059861     0.108893     0.040835    False  undefined
